"ID","Question","Category","Response","Keywords","Examples","Date","Status"
"1","""Who should I contact for IT support?""","""IT Support""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Employee benefits,Health insurance,Retirement plans""","""How do I submit a leave request?""","""2020-03-10""","""TEST"""
"2","""Who should I contact for IT support?""","""Employment Verification""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Employment verification,HR request,Employment letter""","""How do I submit a leave request?""","""2020-12-05""","""VALIDATE"""
"3","""What is the process for reporting workplace harassment?""","""Personal Information""","""You can access your pay stubs through the payroll section of the employee portal.""","""Employee benefits,Health insurance,Retirement plans""","""Where can I find my pay stubs online?""","""2020-08-03""","""VALIDATE"""
"4","""How do I access my pay stubs?""","""Workplace Harassment""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Employment verification,HR request,Employment letter""","""How do I change my address in the system?""","""2020-03-17""","""TEST"""
"5","""What benefits does the company offer?""","""IT Support""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""Can I work from home?""","""2023-12-20""","""VALIDATE"""
"6","""What is the company's policy on remote work?""","""IT Support""","""You can access your pay stubs through the payroll section of the employee portal.""","""Update personal information,Employee portal,Profile section""","""Where can I find my pay stubs online?""","""2022-11-04""","""TRAIN"""
"7","""How can I request time off?""","""Workplace Harassment""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Update personal information,Employee portal,Profile section""","""How do I get IT help?""","""2023-02-19""","""TRAIN"""
"8","""What is the company's leave policy?""","""Performance Reviews""","""You can access your pay stubs through the payroll section of the employee portal.""","""Remote work,Eligibility,Manager consultation""","""How do I get IT help?""","""2022-02-03""","""TRAIN"""
"9","""How do I access my pay stubs?""","""Remote Work""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Performance reviews,Annual review,HR procedures""","""What is annual leave?""","""2020-03-29""","""TEST"""
"10","""Who should I contact for IT support?""","""IT Support""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Performance reviews,Annual review,HR procedures""","""How do I submit a leave request?""","""2022-07-18""","""TRAIN"""
"11","""Who should I contact for IT support?""","""Employee Benefits""","""To request an employment verification letter, please contact HR with your request.""","""Update personal information,Employee portal,Profile section""","""What are the employee perks?""","""2024-03-28""","""TRAIN"""
"12","""How can I request time off?""","""Employee Benefits""","""Our company offers health insurance, retirement plans, and various employee perks.""","""Employee benefits,Health insurance,Retirement plans""","""How do I change my address in the system?""","""2023-02-24""","""TRAIN"""
"13","""How can I request time off?""","""Employment Verification""","""To request an employment verification letter, please contact HR with your request.""","""Request time off,Leave request form,Employee portal""","""What are the employee perks?""","""2020-03-03""","""VALIDATE"""
"14","""How can I request time off?""","""Employment Verification""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Pay stubs,Employee portal,Payroll section""","""What is annual leave?""","""2020-01-29""","""VALIDATE"""
"15","""What is the company's policy on remote work?""","""Pay Stubs""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""IT support,Helpdesk,Contact IT""","""How can I get an employment verification letter?""","""2020-02-04""","""TRAIN"""
"16","""How can I request time off?""","""Personal Information""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Workplace harassment,HR reporting,Email report""","""When are performance reviews held?""","""2024-04-09""","""VALIDATE"""
"17","""What is the company's leave policy?""","""Employment Verification""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""IT support,Helpdesk,Contact IT""","""When are performance reviews held?""","""2023-12-11""","""TEST"""
"18","""How can I request time off?""","""Employee Benefits""","""To request time off, please submit a leave request form through the employee portal.""","""Workplace harassment,HR reporting,Email report""","""How do I change my address in the system?""","""2021-03-28""","""TEST"""
"19","""What benefits does the company offer?""","""Workplace Harassment""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Employee benefits,Health insurance,Retirement plans""","""Where can I find my pay stubs online?""","""2022-06-11""","""TRAIN"""
"20","""What is the process for reporting workplace harassment?""","""Remote Work""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Pay stubs,Employee portal,Payroll section""","""How can I get an employment verification letter?""","""2023-03-06""","""TRAIN"""
"21","""What is the company's policy on remote work?""","""Leave Request""","""To request time off, please submit a leave request form through the employee portal.""","""Employee benefits,Health insurance,Retirement plans""","""What is annual leave?""","""2022-03-19""","""TEST"""
"22","""What is the process for reporting workplace harassment?""","""Pay Stubs""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Remote work,Eligibility,Manager consultation""","""What is annual leave?""","""2022-02-17""","""VALIDATE"""
"23","""What is the procedure for performance reviews?""","""Remote Work""","""Our company offers health insurance, retirement plans, and various employee perks.""","""Employee benefits,Health insurance,Retirement plans""","""Where can I find my pay stubs online?""","""2022-05-08""","""TEST"""
"24","""What is the company's leave policy?""","""Performance Reviews""","""You can access your pay stubs through the payroll section of the employee portal.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""When are performance reviews held?""","""2020-01-22""","""TRAIN"""
"25","""How can I request time off?""","""Workplace Harassment""","""You can access your pay stubs through the payroll section of the employee portal.""","""Update personal information,Employee portal,Profile section""","""How do I report harassment?""","""2022-05-14""","""TRAIN"""
